"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007596","GO:0007596","blood coagulation","22/632","226/18888",0.0973451327433628,2.90926403046936,5.37252362033142,7.73729675710091e-06,0.00123769114910911,0.00103813579421403,"6521/1608/2160/1511/3172/725/3170/170692/5578/80274/5196/6469/79987/2815/5028/2266/2243/2244/6288/8529/2153/3043",22
"GO:0030239","GO:0030239","myofibril assembly","12/632","77/18888",0.155844155844156,4.65757027782344,5.98369317540619,8.92755982244485e-06,0.00137884622223208,0.0011565321599385,"88/4606/4625/4621/4633/4607/7111/84665/58/442721/8557/4892",12
"GO:0015718","GO:0015718","monocarboxylic acid transport","19/632","179/18888",0.106145251396648,3.17226504490489,5.43314452323465,9.33059443722704e-06,0.00138203402122919,0.00115920598389372,"846/5608/9368/9429/10257/3553/6535/84647/1382/159963/1813/2168/200931/1381/2167/3952/6580/8529/51703",19
"GO:0032528","GO:0032528","microvillus organization","7/632","24/18888",0.291666666666667,8.71677215189873,7.03820026435068,9.56531695871956e-06,0.00138203402122919,0.00115920598389372,"10083/54825/5909/53841/9368/7429/4640",7
"GO:0050817","GO:0050817","coagulation","22/632","231/18888",0.0952380952380952,2.84629294755877,5.25318760329675,1.09685889072793e-05,0.00153525967861575,0.00128772677006842,"6521/1608/2160/1511/3172/725/3170/170692/5578/80274/5196/6469/79987/2815/5028/2266/2243/2244/6288/8529/2153/3043",22
"GO:0055002","GO:0055002","striated muscle cell development","12/632","79/18888",0.151898734177215,4.53965710623298,5.86582498769342,1.17053743358257e-05,0.00158873853485343,0.00133258312614233,"88/4606/4625/4621/4633/4607/7111/84665/58/442721/8557/4892",12
"GO:0007599","GO:0007599","hemostasis","22/632","233/18888",0.0944206008583691,2.82186124843809,5.20634385596467,1.25715644495982e-05,0.00161679362673367,0.00135611484090962,"6521/1608/2160/1511/3172/725/3170/170692/5578/80274/5196/6469/79987/2815/5028/2266/2243/2244/6288/8529/2153/3043",22
"GO:0009612","GO:0009612","response to mechanical stimulus","21/632","216/18888",0.0972222222222222,2.90559071729958,5.24080861769812,1.26340203026743e-05,0.00161679362673367,0.00135611484090962,"3784/56729/6387/5024/2185/3553/57053/2626/834/838/64220/58/1813/3549/114780/5028/1000/8557/26047/5727/6262",21
"GO:0002526","GO:0002526","acute inflammatory response","14/632","109/18888",0.128440366972477,3.83857856230403,5.52987293585017,1.63567982218265e-05,0.00203505831209892,0.00170694189630698,"84699/7036/8876/3553/3570/2215/134/4889/6288/3579/5005/5004/54658/3240",14
"GO:0009410","GO:0009410","response to xenobiotic stimulus","33/632","444/18888",0.0743243243243243,2.22126240164215,4.8451823996583,1.74070147559488e-05,0.00210718970518634,0.00176744340438069,"5009/3784/30/7161/54498/3172/1577/1562/5608/13/2185/10257/3553/2016/2626/1559/2627/6622/6423/1813/54578/7364/27284/6580/5727/8529/116085/54600/54658/54575/2938/389903/102723547",33
