"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104331.9",1836.42267368557,-0.157885978976857,0.204701479652446,-0.771298669872467,0.44052992059739,0.750584599674823
"ENSG00000104332.12",477.650059259411,1.78501018396827,0.643741216546661,2.77286918731712,0.00555644517591588,0.0881394799218102
"ENSG00000104341.17",2451.14012488063,-0.0841511846832478,0.376832915641663,-0.223311661986737,0.823292951474939,0.939217664488867
"ENSG00000104343.21",137.799587500284,-0.486348416698769,0.346625386995039,-1.40309520002275,0.16058845233498,0.485004423847672
"ENSG00000104356.11",1319.17811589086,-0.00711732690847782,0.208464099414495,-0.0341417391698042,0.972764124827789,0.990194945394337
"ENSG00000104361.10",1405.12899624249,-0.291949487316798,0.379233518857978,-0.769840936518412,0.441394253252072,0.750944289082844
"ENSG00000104365.16",7167.82451451358,0.227921578392506,0.185598276138663,1.22803715171483,0.219433021824031,0.560242507623221
"ENSG00000104368.19",1234.4686823632,0.706985226772955,0.375441622045381,1.88307631668899,0.0596900262644561,0.302361733043441
"ENSG00000104369.5",340.325472931836,-0.116588023035717,0.602854067684036,-0.193393441772085,0.84665085119491,0.948467805298467
"ENSG00000104371.5",23.8609285435659,-0.244362554927024,0.548918527826276,-0.445170899759392,0.656196254848421,0.869359537436308
"ENSG00000104375.17",1878.72017464767,0.39331533942707,0.19938062072417,1.97268590095924,0.0485313592759736,0.272059006744144
"ENSG00000104381.14",2224.0869040841,0.228623895125963,0.265682824861589,0.860514394353749,0.389505552285571,0.714764004070825
"ENSG00000104388.15",4940.90011985886,-0.158880395906122,0.240941655594137,-0.659414394386637,0.509629701242928,0.792505808438382
"ENSG00000104408.11",11545.101756209,0.402206408006292,0.221466024680565,1.81610885275257,0.0693536759851449,0.326872119782142
"ENSG00000104412.8",2609.27067474764,0.0485106615119525,0.251833330834301,0.19263002776972,0.84724872657716,0.948657183010348
"ENSG00000104413.18",8873.4202833056,-0.247687033472722,0.399048468491878,-0.620694108685104,0.534800906398044,0.806827195965062
